id x y CC SQ
0 993.472 846.284 7.78117 4500
1 1144.34 777.143 18.743 4500
2 661.777 643.652 7.96022 4500
3 1236.52 756.482 18.5967 4500
4 512.354 390.184 2.11278 4500
5 553.949 328.421 5.17886 4500
6 1082.91 867.448 17.0109 4500
7 449.62 392.996 4.10979 4500
8 1227.25 602.4 5.9448 45
9 1096.84 423.217 8.05313 45
10 647.186 390.475 12.0998 45
11 513.246 722.952 8.45391 45
12 577.365 806.78 6.09529 45
13 1231.44 602.843 10.2519 45
14 1199.85 804.045 11.1053 45
15 863.914 422.042 19.2858 45
16 645.857 453.505 13.8431 45
17 888.577 727.367 4.65129 45
18 1243.11 377.496 15.4653 45
19 467.924 771.997 19.6417 45
