round Distributed-uniform Centralized Centralized-random Distributed-worst
0 0.5526 0.6053 0.6901 0.528
1 0.6708 0.704 0.7878 0.6264
2 0.8786 0.881 0.8228 0.7283
3 0.947 0.9556 0.8739 0.7606
4 0.901 0.9754 0.8756 0.8177
5 0.9349 0.9354 0.9211 0.7989
6 0.9654 0.96 0.9310 0.779
7 0.9828 0.9808 0.9271 0.7619
8 0.9851 0.9815 0.9484 0.8661
9 0.967 0.9762 0.9424 0.8816
10 0.9543 0.9794 0.9482 0.937
11 0.9828 0.978 0.9553 0.9549
12 0.9845 0.9869 0.9673 0.9537
13 0.9869 0.9907 0.9621 0.9601
14 0.9871 0.9899 0.9657 0.9584
15 0.9879 0.9866 0.9704 0.9596
16 0.9879 0.9907 0.9739 0.9571
17 0.9865 0.983 0.9697 0.9614
18 0.9894 0.99 0.9676 0.9553
19 0.9896 0.9902 0.9733 0.9566
